translation,infinitive,sg_Ip_form,sg_IIp_form,sg_IIIp_form,pl_Ip_form,pl_IIp_form,pl_IIIp_form
enable,ermöglichen,ermögliche,ermöglichst,ermöglicht,ermöglichen,ermöglicht,ermöglichen
to reach,erreichen,erreiche,erreichst,erreicht,erreichen,erreicht,erreichen
appear,erscheinen,erscheine,erscheinst,erscheint,erscheinen,erscheint,erscheinen
create,erstellen,erstelle,erstellst,erstellt,erstellen,erstellt,erstellen
expect,erwarten,erwarte,erwartest,erwartet,erwarten,erwartet,erwarten
tell,erzählen,erzähle,erzählst,erzählt,erzählen,erzählt,erzählen
drive,fahren,fahre,fährst,fährt,fahren,fahrt,fahren
fall,fallen,falle,fällst,fällt,fallen,fallt,fallen
absence,fehlen,fehle,fehlst,fehlt,fehlen,fehlt,fehlen
to celebrate,feiern,feiere,feierst,feiert,feiern,feiert,feiern
find,finden,finde,findest,findet,finden,findet,finden
consequences,folgen,folge,folgst,folgt,folgen,folgt,folgen
demand,fordern,fordere,forderst,fordert,fordern,fordert,fordern
promote,fördern,fordere,forderst,fordert,fordern,fordert,fordern
ask,fragen,frage,fragst,fragt,fragen,fragt,fragen
looking forward,freuen,freue,freust,freut,freuen,freut,freuen
feel,fühlen,fühle,fühlst,fühlt,fühlen,fühlt,fühlen
to lead,führen,führe,führst,führt,führen,führt,führen
function,funktionieren,funktioniere,funktionierst,funktioniert,funktionieren,funktioniert,funktionieren
give,geben,gebe,gibst,gibt,geben,gebt,geben
walk,gehen,gehe,gehst,geht,gehen,geht,gehen
belong,gehören,gehöre,gehörst,gehört,gehören,gehört,gehören
success,gelingen,gelinge,gelingst,gelingt,gelingen,gelingt,gelingen
be valid,gelten,gelte,giltst,gilt,gelten,geltet,gelten
enjoy,genießen,genieße,genießt,genießt,genießen,genießt,genießen
happen,geschehen,geschehe,geschiehst,geschieht,geschehen,gescheht,geschehen
shape,gestalten,gestalte,gestaltest,gestaltet,gestalten,gestaltet,gestalten
win,gewinnen,gewinne,gewinnst,gewinnt,gewinnen,gewinnt,gewinnen
believe,glauben,glaube,glaubst,glaubt,glauben,glaubt,glauben
establish,gründen,gründe,gründest,gründet,gründen,gründet,gründen
hold,halten,halte,hältst,hält,halten,haltet,halten
act,handeln,handle; handele,handelst,handelt,handeln,handelt,handeln
be called,heißen,heiße,heißt,heißt,heißen,heißt,heißen
help,helfen,helfe,hilfst,hilft,helfen,helft,helfen
produce,herstellen,stelle her,stellst her,stellt her,stellen her,stellt her,stellen her
to hope,hoffen,hoffe,hoffst,hofft,hoffen,hofft,hoffen
listen,hören,höre,hörst,hört,hören,hört,hören
to inform,informieren,informiere,informierst,informiert,informieren,informiert,informieren
to buy,kaufen,kaufe,kaufst,kauft,kaufen,kauft,kaufen
know,kennen,kenne,kennst,kennt,kennen,kennt,kennen
come,kommen,komme,kommst,kommt,kommen,kommt,kommen
costs,kosten,koste,kostest,kostet,kosten,kostet,kosten
load,laden,lade,lädst,lädt,laden,ladet,laden
to let,lassen,lasse,lässt,lässt,lassen,lasst,lassen
to run,laufen,laufe,läufst,läuft,laufen,lauft,laufen
Life,leben,lebe,lebst,lebt,leben,lebt,leben
lay,legen,lege,legst,legt,legen,legt,legen
Afford,leisten,leiste,leistest,leistet,leisten,leistet,leisten
learn,lernen,lerne,lernst,lernt,lernen,lernt,lernen
read,lesen,lese,liest,liest,lesen,lest,lesen
love,lieben,liebe,liebst,liebt,lieben,liebt,lieben
deliver,liefern,liefere,lieferst,liefert,liefern,liefert,liefern
lie,liegen,liege,liegst,liegt,liegen,liegt,liegen
to solve,lösen,löse,löst,löst,lösen,löst,lösen
do,machen,mache,machst,macht,machen,macht,machen
say,meinen,meine,meinst,meint,meinen,meint,meinen
Report,melden,melde,meldest,meldet,melden,meldet,melden
to like,mögen,mag,magst,mag,mögen,mögt,mögen
have to,müssen,muss,musst,muss,müssen,müsst,müssen
to take,nehmen,nehme,nimmst,nimmt,nehmen,nehmt,nehmen
call,nennen,nenne,nennst,nennt,nennen,nennt,nennen
use,nutzen,nutze,nutzt,nutzt,nutzen,nutzt,nutzen
to open,öffnen,öffne,öffnest,öffnet,öffnen,öffnet,öffnen
fit,passen,passe,passt,passt,passen,passt,passen
happen,passieren,passiere,passierst,passiert,passieren,passiert,passieren
to plan,planen,plane,planst,plant,planen,plant,planen
pass,reichen,reiche,reichst,reicht,reichen,reicht,reichen
judge,richten,richte,richtest,richtet,richten,richtet,richten
call,rufen,rufe,rufst,ruft,rufen,ruft,rufen
say,sagen,sage,sagst,sagt,sagen,sagt,sagen
collect,sammeln,sammle; sammele,sammelst,sammelt,sammeln,sammelt,sammeln
create,schaffen,schaffe,schaffst,schafft,schaffen,schafft,schaffen
watch,schauen,schaue,schaust,schaut,schauen,schaut,schauen
seem to be,scheinen,scheine,scheinst,scheint,scheinen,scheint,scheinen
beat,schlagen,schlage,schlägst,schlägt,schlagen,schlagt,schlagen
conclude,schließen,schließe,schließt,schließt,schließen,schließt,schließen
protect,schützen,schütze,schützt,schützt,schützen,schützt,schützen
see,sehen,sehe,siehst,sieht,sehen,seht,sehen
put,setzen,setze,setzt,setzt,setzen,setzt,setzen
to back up,sichern,sichere,sicherst,sichert,sichern,sichert,sichern
sit,sitzen,sitze,sitzt,sitzt,sitzen,sitzt,sitzen
should,sollen,soll,sollst,soll,sollen,sollt,sollen
to care,sorgen,sorge,sorgst,sorgt,sorgen,sorgt,sorgen
save up,sparen,spare,sparst,spart,sparen,spart,sparen
play,spielen,spiele,spielst,spielt,spielen,spielt,spielen
speak,sprechen,spreche,sprichst,spricht,sprechen,sprecht,sprechen
start,starten,starte,startest,startet,starten,startet,starten
occur,stattfinden,finde statt,findest statt,findet statt,finden statt,findet statt,finden statt
stand,stehen,stehe,stehst,steht,stehen,steht,stehen
climb,steigen,steige,steigst,steigt,steigen,steigt,steigen
put,stellen,stelle,stellst,stellt,stellen,stellt,stellen
search,suchen,suche,suchst,sucht,suchen,sucht,suchen
share,teilen,teile,teilst,teilt,teilen,teilt,teilen
carry,tragen,trage,trägst,trägt,tragen,tragt,tragen
to meet,treffen,treffe,triffst,trifft,treffen,trefft,treffen
to step,treten,trete,trittst,tritt,treten,tretet,treten
to do,tun,tue,tust,tut,tun,tut,tun
take over,übernehmen,übernehme,übernimmst,übernimmt,übernehmen,übernehmt,übernehmen
convince,überzeugen,überzeuge,überzeugst,überzeugt,überzeugen,überzeugt,überzeugen
implement,umsetzen,setze um,setzt um,setzt um,setzen um,setzt um,setzen um
support,unterstützen,unterstütze,unterstützt,unterstützt,unterstützen,unterstützt,unterstützen
change,verändern,verändere,veränderst,verändert,verändern,verändert,verändern
improve,verbessern,verbessere,verbesserst,verbessert,verbessern,verbessert,verbessern
connect,verbinden,verbinde,verbindest,verbindet,verbinden,verbindet,verbinden
feature,verfügen,verfüge,verfügst,verfügt,verfügen,verfügt,verfügen
to forget,vergessen,vergesse,vergisst,vergisst,vergessen,vergesst,vergessen
to sell,verkaufen,verkaufe,verkaufst,verkauft,verkaufen,verkauft,verkaufen
leave,verlassen,verlasse,verlässt,verlässt,verlassen,verlasst,verlassen
to lose,verlieren,verliere,verlierst,verliert,verlieren,verliert,verlieren
convey,vermitteln,vermittle; vermittele,vermittelst,vermittelt,vermitteln,vermittelt,vermitteln
publish,veröffentlichen,veröffentliche,veröffentlichst,veröffentlicht,veröffentlichen,veröffentlicht,veröffentlichen
understand,verstehen,verstehe,verstehst,versteht,verstehen,versteht,verstehen
to attempt,versuchen,versuche,versuchst,versucht,versuchen,versucht,versuchen
represented,vertreten,vertrete,vertrittst,vertritt,vertreten,vertretet,vertreten
use,verwenden,verwende,verwendest,verwendet,verwenden,verwendet,verwenden
imagine,vorstellen,stelle vor,stellst vor,stellt vor,stellen vor,stellt vor,stellen vor
to grow,wachsen,wachse,wächst,wächst,wachsen,wachst,wachsen
choose,wählen,wähle,wählst,wählt,wählen,wählt,wählen
waiting,warten,warte,wartest,wartet,warten,wartet,warten
point,weisen,weise,weist,weist,weisen,weist,weisen
will,werden,werde,wirst,wird,werden,werdet,werden
Act,wirken,wirke,wirkst,wirkt,wirken,wirkt,wirken
knowledge,wissen,weiß,weißt,weiß,wissen,wisst,wissen
want,wollen,will,willst,will,wollen,wollt,wollen
to wish,wünschen,wünsche,wünschst,wünscht,wünschen,wünscht,wünschen
counting,zählen,zähle,zählst,zählt,zählen,zählt,zählen
numbers,zahlen,zahle,zahlst,zahlt,zahlen,zahlt,zahlen
demonstrate,zeigen,zeige,zeigst,zeigt,zeigen,zeigt,zeigen
pull,ziehen,ziehe,ziehst,zieht,ziehen,zieht,ziehen
